3226,Race Communications,"Los Angeles, CA",2018-01-07T21:32:33.800839Z,20.556527442976513,156.839,10362015.053785248,1123468.105759109
5827,Time Warner Cable,"Los Angeles, CA",2018-01-07T21:44:08.870525Z,20.556527442976513,171.138,5930225.708006908,1021857.1993817491
5031,AT&T,"Los Angeles, CA",2018-01-07T21:55:43.961639Z,20.556527442976513,161.466,7461604.860968215,1075700.1548624344
3226,Race Communications,"Los Angeles, CA",2018-01-07T22:07:18.147147Z,20.556527442976513,166.868,7739036.880910008,1240795.3132957371
5031,AT&T,"Los Angeles, CA",2018-01-07T22:18:53.470403Z,20.556527442976513,159.792,6700862.44375743,1220491.8608860914
2953,Atlantic Metro,"Los Angeles, CA",2018-01-07T22:30:27.629745Z,20.556527442976513,158.46,9284210.108009174,874846.9298343766
3226,Race Communications,"Los Angeles, CA",2018-01-07T22:42:06.334441Z,20.556527442976513,156.437,6032595.807241813,926540.4795061934
2953,Atlantic Metro,"Los Angeles, CA",2018-01-07T22:53:40.952044Z,20.556527442976513,162.129,6745199.574348216,924881.2024871913
5031,AT&T,"Los Angeles, CA",2018-01-07T23:05:17.102295Z,20.556527442976513,162.921,6352490.925135272,1153285.9898707594
3226,Race Communications,"Los Angeles, CA",2018-01-07T23:16:51.736914Z,20.556527442976513,164.553,6319393.0603100965,961432.311500234
5031,AT&T,"Los Angeles, CA",2018-01-07T23:28:28.531635Z,20.556527442976513,156.332,9849297.026797414,1234893.4444142224
1685,Vodafone UK,Newbury,2018-01-08T18:41:21.765335Z,34.360177341591054,18.587,10265385.817670736,958297.2943955241
10280,Interoute VDC,Slough,2018-01-08T18:51:54.274302Z,82.57903415332159,15.733,10761883.865939513,976255.7228168802
1685,Vodafone UK,Newbury,2018-01-08T19:02:26.062731Z,34.360177341591054,19.725,10672854.663835226,945486.5293584159
